,sr_no,Perplexity,Perplexity per line,Burstiness,label,desc,source
173,160,18,51.19047619047619,176,0,The Text is generated by AI.,human
174,161,12,17.555555555555557,30,0,The Text is generated by AI.,human
175,162,17,53.166666666666664,200,0,The Text is generated by AI.,human
176,163,23,57.46153846153846,133,0,The Text is generated by AI.,human
177,164,15,44.81818181818182,323,0,The Text is generated by AI.,human
178,165,10,89.31818181818181,401,1,The Text is written by Human.,human
179,166,17,47.77777777777778,208,0,The Text is generated by AI.,human
180,167,24,50.72727272727273,140,0,The Text is generated by AI.,human
181,168,31,118.52380952380952,950,1,The Text is written by Human.,human
182,169,19,34.0,72,0,The Text is generated by AI.,human
183,61,5,13.5,24,0,The Text is generated by AI.,chatgpt
184,67,4,14.117647058823529,24,0,The Text is generated by AI.,chatgpt
185,66,5,11.666666666666666,21,0,The Text is generated by AI.,chatgpt
186,65,5,12.461538461538462,22,0,The Text is generated by AI.,chatgpt
187,64,6,25.25,47,0,The Text is generated by AI.,chatgpt
188,63,4,17.066666666666666,38,0,The Text is generated by AI.,chatgpt
189,62,5,12.157894736842104,22,0,The Text is generated by AI.,chatgpt
190,60,5,20.470588235294116,42,0,The Text is generated by AI.,chatgpt
191,81,5,12.181818181818182,30,0,The Text is generated by AI.,chatgpt
192,82,7,16.285714285714285,42,0,The Text is generated by AI.,chatgpt
193,78,5,18.375,58,0,The Text is generated by AI.,chatgpt
194,76,5,11.333333333333334,17,0,The Text is generated by AI.,chatgpt
195,75,6,24.214285714285715,117,0,The Text is generated by AI.,chatgpt
196,70,4,11.357142857142858,15,0,The Text is generated by AI.,chatgpt
197,72,5,14.76923076923077,37,0,The Text is generated by AI.,chatgpt
198,77,5,14.736842105263158,32,0,The Text is generated by AI.,chatgpt
199,73,6,22.294117647058822,55,0,The Text is generated by AI.,chatgpt
200,69,5,16.333333333333332,34,0,The Text is generated by AI.,chatgpt
201,71,7,32.53333333333333,89,0,The Text is generated by AI.,chatgpt
202,74,6,13.916666666666666,26,0,The Text is generated by AI.,chatgpt
203,46,4,13.0,23,0,The Text is generated by AI.,chatgpt
204,40,6,21.8,62,0,The Text is generated by AI.,chatgpt
205,43,5,22.76923076923077,35,0,The Text is generated by AI.,chatgpt
206,37,6,18.357142857142858,38,0,The Text is generated by AI.,chatgpt
207,44,4,21.894736842105264,45,0,The Text is generated by AI.,chatgpt
208,45,6,16.214285714285715,31,0,The Text is generated by AI.,chatgpt
209,39,7,28.466666666666665,63,0,The Text is generated by AI.,chatgpt
210,41,5,34.0,56,0,The Text is generated by AI.,chatgpt
211,42,5,14.866666666666667,27,0,The Text is generated by AI.,chatgpt
212,68,6,16.428571428571427,30,0,The Text is generated by AI.,chatgpt
213,55,5,18.77777777777778,33,0,The Text is generated by AI.,chatgpt
214,53,6,21.0,76,0,The Text is generated by AI.,chatgpt
215,51,5,14.571428571428571,25,0,The Text is generated by AI.,chatgpt
216,49,5,11.428571428571429,22,0,The Text is generated by AI.,chatgpt
217,54,5,23.266666666666666,71,0,The Text is generated by AI.,chatgpt
218,57,6,21.5,79,0,The Text is generated by AI.,chatgpt
219,56,5,15.933333333333334,26,0,The Text is generated by AI.,chatgpt
220,52,6,14.153846153846153,22,0,The Text is generated by AI.,chatgpt
221,50,6,19.866666666666667,42,0,The Text is generated by AI.,chatgpt
222,14,5,20.142857142857142,30,0,The Text is generated by AI.,chatgpt
223,15,5,29.88888888888889,100,0,The Text is generated by AI.,chatgpt
224,9,5,17.5,25,0,The Text is generated by AI.,chatgpt
225,6,6,22.0,48,0,The Text is generated by AI.,chatgpt
226,10,6,19.3125,42,0,The Text is generated by AI.,chatgpt
227,8,5,28.357142857142858,53,0,The Text is generated by AI.,chatgpt
228,12,7,15.090909090909092,28,0,The Text is generated by AI.,chatgpt
229,5,5,16.083333333333332,23,0,The Text is generated by AI.,chatgpt
230,7,6,14.8,23,0,The Text is generated by AI.,chatgpt
231,31,4,11.176470588235293,20,0,The Text is generated by AI.,chatgpt
232,29,4,10.0,18,0,The Text is generated by AI.,chatgpt
233,32,5,14.529411764705882,25,0,The Text is generated by AI.,chatgpt
234,35,6,16.833333333333332,24,0,The Text is generated by AI.,chatgpt
235,33,5,11.882352941176471,20,0,The Text is generated by AI.,chatgpt
236,30,4,12.631578947368421,23,0,The Text is generated by AI.,chatgpt
237,26,5,14.764705882352942,25,0,The Text is generated by AI.,chatgpt
238,28,3,11.631578947368421,21,0,The Text is generated by AI.,chatgpt
239,34,4,14.105263157894736,22,0,The Text is generated by AI.,chatgpt
240,10001,7,20.470588235294116,41,0,The Text is generated by AI.,chatgpt
241,10002,5,21.2,42,0,The Text is generated by AI.,chatgpt
242,2,6,16.818181818181817,27,0,The Text is generated by AI.,chatgpt
243,3,3,11.5,15,0,The Text is generated by AI.,chatgpt
244,4,6,14.666666666666666,31,0,The Text is generated by AI.,chatgpt
245,11001,4,12.090909090909092,17,0,The Text is generated by AI.,chatgpt
246,11002,4,14.818181818181818,54,0,The Text is generated by AI.,chatgpt
247,13001,6,16.642857142857142,24,0,The Text is generated by AI.,chatgpt
248,13002,5,18.307692307692307,41,0,The Text is generated by AI.,chatgpt
249,16,5,15.473684210526315,30,0,The Text is generated by AI.,chatgpt
250,17,6,17.6,66,0,The Text is generated by AI.,chatgpt
251,18,4,11.470588235294118,18,0,The Text is generated by AI.,chatgpt
252,19,5,28.347826086956523,135,0,The Text is generated by AI.,chatgpt
253,20,4,17.153846153846153,46,0,The Text is generated by AI.,chatgpt
254,21,4,14.785714285714286,23,0,The Text is generated by AI.,chatgpt
255,22,7,16.153846153846153,25,0,The Text is generated by AI.,chatgpt
256,23,6,17.846153846153847,31,0,The Text is generated by AI.,chatgpt
257,24,6,10.692307692307692,16,0,The Text is generated by AI.,chatgpt
258,25,4,11.647058823529411,26,0,The Text is generated by AI.,chatgpt
259,27,7,19.125,50,0,The Text is generated by AI.,chatgpt
260,0,4,21.2,83,0,The Text is generated by AI.,chatgpt
261,36,6,17.0,35,0,The Text is generated by AI.,chatgpt
262,38001,20,36.529411764705884,69,0,The Text is generated by AI.,chatgpt
263,38002,7,15.363636363636363,24,0,The Text is generated by AI.,chatgpt
264,47,5,18.9375,48,0,The Text is generated by AI.,chatgpt
265,48001,11,25.42105263157895,51,0,The Text is generated by AI.,chatgpt
266,48002,5,20.214285714285715,47,0,The Text is generated by AI.,chatgpt
267,58,5,17.6875,38,0,The Text is generated by AI.,chatgpt
268,59,4,13.277777777777779,30,0,The Text is generated by AI.,chatgpt
269,83,5,15.071428571428571,31,0,The Text is generated by AI.,chatgpt
270,84,4,19.238095238095237,43,0,The Text is generated by AI.,chatgpt
271,85,6,16.727272727272727,57,0,The Text is generated by AI.,chatgpt
272,86,6,29.529411764705884,63,0,The Text is generated by AI.,chatgpt
273,87,6,23.055555555555557,49,0,The Text is generated by AI.,chatgpt
274,88,6,28.705882352941178,81,0,The Text is generated by AI.,chatgpt
275,89,4,25.384615384615383,45,0,The Text is generated by AI.,chatgpt
276,90,4,10.25,15,0,The Text is generated by AI.,chatgpt
277,91,4,10.75,16,0,The Text is generated by AI.,chatgpt
278,92,6,14.055555555555555,32,0,The Text is generated by AI.,chatgpt
279,93,4,13.909090909090908,31,0,The Text is generated by AI.,chatgpt
280,94,5,12.384615384615385,28,0,The Text is generated by AI.,chatgpt
281,95,4,12.866666666666667,21,0,The Text is generated by AI.,chatgpt
282,96001,8,20.42105263157895,38,0,The Text is generated by AI.,chatgpt
283,96002,4,8.818181818181818,13,0,The Text is generated by AI.,chatgpt
284,97,8,17.857142857142858,40,0,The Text is generated by AI.,chatgpt
285,98,3,16.285714285714285,36,0,The Text is generated by AI.,chatgpt
286,99,6,13.307692307692308,33,0,The Text is generated by AI.,chatgpt
287,100,5,12.916666666666666,19,0,The Text is generated by AI.,chatgpt
288,101,5,14.857142857142858,24,0,The Text is generated by AI.,chatgpt
289,1021,5,12.307692307692308,27,0,The Text is generated by AI.,chatgpt
290,1022,6,18.133333333333333,28,0,The Text is generated by AI.,chatgpt
291,1031,5,20.0,60,0,The Text is generated by AI.,chatgpt
292,1032,5,13.76923076923077,18,0,The Text is generated by AI.,chatgpt
293,1041,5,20.071428571428573,56,0,The Text is generated by AI.,chatgpt
294,1042,5,25.41176470588235,73,0,The Text is generated by AI.,chatgpt
295,105,5,16.818181818181817,29,0,The Text is generated by AI.,chatgpt
296,106,4,19.294117647058822,47,0,The Text is generated by AI.,chatgpt
297,107,7,21.666666666666668,40,0,The Text is generated by AI.,chatgpt
298,108,5,19.210526315789473,46,0,The Text is generated by AI.,chatgpt
299,109,6,16.1875,23,0,The Text is generated by AI.,chatgpt
300,110,7,24.333333333333332,98,0,The Text is generated by AI.,chatgpt
301,111,6,23.444444444444443,45,0,The Text is generated by AI.,chatgpt
302,112,6,18.714285714285715,43,0,The Text is generated by AI.,chatgpt
303,113,5,20.294117647058822,48,0,The Text is generated by AI.,chatgpt
304,114,6,17.57894736842105,34,0,The Text is generated by AI.,chatgpt
305,1141,23,39.76923076923077,84,0,The Text is generated by AI.,chatgpt
306,115,7,24.526315789473685,84,0,The Text is generated by AI.,chatgpt
307,1151,14,30.0,53,0,The Text is generated by AI.,chatgpt
308,116,6,19.88888888888889,49,0,The Text is generated by AI.,chatgpt
309,117,6,13.6875,26,0,The Text is generated by AI.,chatgpt
310,118,4,11.368421052631579,26,0,The Text is generated by AI.,chatgpt
311,119,5,12.2,31,0,The Text is generated by AI.,chatgpt
312,120,7,22.333333333333332,46,0,The Text is generated by AI.,chatgpt
313,121,6,18.0,31,0,The Text is generated by AI.,chatgpt
314,122,6,24.923076923076923,71,0,The Text is generated by AI.,chatgpt
315,123,6,16.25,33,0,The Text is generated by AI.,chatgpt
316,124,6,29.61904761904762,123,0,The Text is generated by AI.,chatgpt
317,125,5,20.571428571428573,52,0,The Text is generated by AI.,chatgpt
318,126,4,23.357142857142858,35,0,The Text is generated by AI.,chatgpt
319,127,5,13.88888888888889,29,0,The Text is generated by AI.,chatgpt
320,128,4,16.533333333333335,25,0,The Text is generated by AI.,chatgpt
321,129,6,18.266666666666666,49,0,The Text is generated by AI.,chatgpt
322,130,6,33.0,121,0,The Text is generated by AI.,chatgpt
323,131,6,21.846153846153847,41,0,The Text is generated by AI.,chatgpt
324,132,4,15.545454545454545,27,0,The Text is generated by AI.,chatgpt
325,133,6,15.1875,30,0,The Text is generated by AI.,chatgpt
326,134,5,20.789473684210527,121,0,The Text is generated by AI.,chatgpt
327,135,5,13.071428571428571,20,0,The Text is generated by AI.,chatgpt
328,136,4,14.142857142857142,45,0,The Text is generated by AI.,chatgpt
329,137,6,20.071428571428573,39,0,The Text is generated by AI.,chatgpt
330,138,5,15.090909090909092,36,0,The Text is generated by AI.,chatgpt
331,139,7,22.333333333333332,53,0,The Text is generated by AI.,chatgpt
332,140,4,13.083333333333334,19,0,The Text is generated by AI.,chatgpt
333,141,4,11.285714285714286,18,0,The Text is generated by AI.,chatgpt
334,1421,12,43.88235294117647,226,0,The Text is generated by AI.,chatgpt
335,1422,6,18.0,28,0,The Text is generated by AI.,chatgpt
336,143,5,10.8,14,0,The Text is generated by AI.,chatgpt
337,144,4,11.529411764705882,18,0,The Text is generated by AI.,chatgpt
338,145,4,14.714285714285714,44,0,The Text is generated by AI.,chatgpt
339,146,6,21.4,79,0,The Text is generated by AI.,chatgpt
340,147,5,15.176470588235293,34,0,The Text is generated by AI.,chatgpt
341,148,5,19.473684210526315,59,0,The Text is generated by AI.,chatgpt
342,1491,10,30.952380952380953,141,0,The Text is generated by AI.,chatgpt
343,1492,5,15.066666666666666,35,0,The Text is generated by AI.,chatgpt
344,150,4,17.941176470588236,39,0,The Text is generated by AI.,chatgpt
345,1511,17,78.8,349,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),chatgpt
346,1512,7,22.0,64,0,The Text is generated by AI.,chatgpt
347,152,5,17.09090909090909,30,0,The Text is generated by AI.,chatgpt
348,1531,7,21.954545454545453,51,0,The Text is generated by AI.,chatgpt
349,1532,4,11.285714285714286,23,0,The Text is generated by AI.,chatgpt
350,154,3,15.375,31,0,The Text is generated by AI.,chatgpt
351,155,5,17.333333333333332,36,0,The Text is generated by AI.,chatgpt
352,156,4,16.25,38,0,The Text is generated by AI.,chatgpt
353,157,4,13.294117647058824,24,0,The Text is generated by AI.,chatgpt
354,158,5,15.0,25,0,The Text is generated by AI.,chatgpt
355,159,6,21.05,53,0,The Text is generated by AI.,chatgpt
356,160,5,18.642857142857142,41,0,The Text is generated by AI.,chatgpt
357,161,5,17.933333333333334,36,0,The Text is generated by AI.,chatgpt
358,162,4,16.894736842105264,41,0,The Text is generated by AI.,chatgpt
359,163,5,20.77777777777778,36,0,The Text is generated by AI.,chatgpt
360,164,5,15.647058823529411,28,0,The Text is generated by AI.,chatgpt
361,165,5,16.736842105263158,34,0,The Text is generated by AI.,chatgpt
362,166,6,15.785714285714286,34,0,The Text is generated by AI.,chatgpt
363,167,5,16.95,33,0,The Text is generated by AI.,chatgpt
364,168,7,19.866666666666667,51,0,The Text is generated by AI.,chatgpt
365,169,4,13.923076923076923,19,0,The Text is generated by AI.,chatgpt
